service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260526,20261011
2,1,1,1,1,0,0,0,20260526,20261011
3,0,1,0,0,0,0,0,20260526,20261011
4,0,0,0,1,0,0,0,20260526,20261011
5,0,0,0,0,1,0,0,20260526,20261011
6,1,0,0,0,0,0,0,20260526,20261011
7,0,1,1,1,1,0,0,20260526,20261011
8,1,1,1,0,1,0,0,20260526,20261011
9,1,1,0,1,1,0,0,20260526,20261011
11,0,0,0,0,0,1,0,20260526,20261011
12,0,0,0,0,0,0,1,20260526,20261011
16,0,1,0,1,1,0,0,20260526,20261011
17,0,0,1,0,0,0,0,20260526,20261011
18,1,0,1,1,1,0,0,20260526,20261011
19,0,0,1,1,1,0,0,20260526,20261011
21,1,1,1,1,1,0,0,20260526,20261011
22,1,1,1,1,0,0,0,20260526,20261011
23,0,1,0,0,0,0,0,20260526,20261011
24,0,0,0,1,0,0,0,20260526,20261011
25,0,0,0,0,1,0,0,20260526,20261011
26,1,0,0,0,0,0,0,20260526,20261011
27,0,1,1,1,1,0,0,20260526,20261011
28,1,1,1,0,1,0,0,20260526,20261011
29,1,0,1,0,1,0,0,20260526,20261011
31,1,1,1,1,1,0,0,20260706,20260717
43,0,0,1,0,0,0,0,20260526,20261011
44,1,1,0,1,1,0,0,20260526,20261011
45,1,0,1,1,1,0,0,20260526,20261011
53,1,0,0,1,1,0,0,20260526,20261011
59,1,0,1,0,1,0,0,20260526,20261011
64,1,1,0,0,1,0,0,20260526,20261011
69,1,0,0,0,1,0,0,20260526,20261011
83,0,1,0,1,0,0,0,20260526,20261011
263,0,0,0,1,0,0,0,20260604,20260604
2643,0,0,0,0,0,1,0,20260613,20260613
2653,0,0,0,0,0,1,0,20260620,20260620
2663,0,0,0,0,0,1,0,20260627,20260627
2723,0,0,0,0,0,1,0,20260808,20260808
3001,1,1,1,1,1,0,0,20260526,20261011
3002,0,0,0,0,0,1,0,20260526,20261011
3003,0,0,0,0,0,0,1,20260526,20261011
3501,1,1,1,1,1,0,0,20260526,20260612
3502,0,0,0,0,0,1,0,20260526,20260612
3503,0,0,0,0,0,0,1,20260526,20260612
4501,1,1,1,1,1,0,0,20260526,20261011
4502,0,0,0,0,0,1,0,20260526,20261011
4503,0,0,0,0,0,0,1,20260526,20261011
4506,0,0,0,0,1,0,0,20260526,20261011
4509,1,1,1,1,0,0,0,20260526,20261011
4601,1,1,1,1,1,0,0,20260526,20261011
4602,0,0,0,0,0,1,0,20260526,20261011
4603,0,0,0,0,0,0,1,20260526,20261011
5001,1,1,1,1,1,0,0,20260528,20260703
5002,0,0,0,0,0,1,0,20260528,20260703
5003,0,0,0,0,0,0,1,20260528,20260703
5004,0,0,1,0,0,0,0,20260528,20260703
5005,0,0,0,1,0,0,0,20260528,20260703
5007,1,1,0,1,1,0,0,20260528,20260703
5008,1,1,1,0,1,0,0,20260528,20260703
5015,0,1,0,0,0,0,0,20260528,20260703
5501,1,1,1,1,1,0,0,20260526,20261011
5502,0,0,0,0,0,1,0,20260526,20261011
5503,0,0,0,0,0,0,1,20260526,20261011
5504,0,0,1,0,0,0,0,20260526,20261011
5505,0,0,0,1,0,0,0,20260526,20261011
5507,1,1,0,1,1,0,0,20260526,20261011
5508,1,1,1,0,1,0,0,20260526,20261011
5512,0,1,1,1,1,0,0,20260526,20261011
5513,1,0,1,1,1,0,0,20260526,20261011
5514,1,0,0,0,0,0,0,20260526,20261011
5515,0,1,0,0,0,0,0,20260526,20261011
5516,1,1,0,0,1,0,0,20260526,20261011
5525,0,1,0,1,1,0,0,20260526,20261011
5526,0,0,1,1,1,0,0,20260526,20261011
5527,1,0,0,1,1,0,0,20260526,20261011
5528,0,0,0,1,1,0,0,20260526,20261011
5529,1,0,1,0,1,0,0,20260526,20261011
5531,0,1,1,0,1,0,0,20260526,20261011
5601,1,1,1,1,1,0,0,20260526,20261011
5604,0,0,1,0,0,0,0,20260526,20261011
5605,0,0,0,1,0,0,0,20260526,20261011
5607,1,1,0,1,1,0,0,20260526,20261011
5608,1,1,1,0,1,0,0,20260526,20261011
8002,0,0,0,0,0,1,0,20260605,20260608
8003,0,0,0,0,0,0,1,20260605,20260608
8006,0,0,0,0,1,0,0,20260605,20260608
8014,1,0,0,0,0,0,0,20260605,20260608
8101,1,1,1,1,1,0,0,20260526,20261011
8102,0,0,0,0,0,1,0,20260526,20261011
8103,0,0,0,0,0,0,1,20260526,20261011
8501,1,1,1,1,1,0,0,20260526,20261011
8502,0,0,0,0,0,1,0,20260526,20261011
8503,0,0,0,0,0,0,1,20260526,20261011
