route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
100,11,942093,Glen Osmond,,1,3145,14681,1
100,11,942094,Glen Osmond,,1,3318,14681,1
100,11,942095,Arndale,,0,3238,14678,1
100,11,942096,Glen Osmond,,1,3327,14681,1
100,11,942097,Glen Osmond,,1,3252,14681,1
100,11,942098,Arndale,,0,3347,14678,1
100,11,942099,Arndale,,0,3134,14678,1
100,11,942100,Glen Osmond,,1,3178,13815,1
100,11,942101,Arndale,,0,3178,14678,1
100,11,942102,Arndale,,0,3355,14678,1
100,11,942103,Arndale,,0,3268,14678,1
100,11,942104,Glen Osmond,,1,3327,14681,1
100,11,942105,Glen Osmond,,1,3241,14681,1
100,11,942106,Arndale,,0,3246,14679,1
100,11,942107,Glen Osmond,,1,3255,13815,1
100,11,942108,Arndale,,0,3255,14678,1
100,11,942109,Arndale,,0,3255,14678,1
100,11,942110,Arndale,,0,3184,14679,1
100,11,942111,Glen Osmond,,1,3305,14681,1
100,11,942112,Glen Osmond,,1,3244,14681,1
100,11,942113,Glen Osmond,,1,3108,14681,1
100,4,1022306,Glen Osmond,,1,3758,14681,1
100,4,1022307,Arndale,,0,3687,14678,1
100,17,1022308,Glen Osmond,,1,3499,14681,1
100,17,1022310,Glen Osmond,,1,3376,14681,1
100,17,1022311,Arndale,,0,3654,14678,1
100,17,1022312,Glen Osmond,,1,3758,14681,1
100,3,1022313,Glen Osmond,,1,3758,14681,1
100,3,1022314,Arndale,,0,3687,14678,1
100,7,1022315,Arndale,,0,3253,14678,1
100,7,1022316,Arndale,,0,3592,14678,1
100,6,1022317,Arndale,,0,3253,14678,1
100,6,1022318,Arndale,,0,3592,14678,1
100,69,1022319,Glen Osmond,,1,3758,14681,1
100,59,1022320,Arndale,,0,3687,14678,1
100,9,1022321,Glen Osmond,,1,3499,14681,1
100,1,1022322,Glen Osmond,,1,3543,14681,1
100,9,1022323,Arndale,,0,3654,14678,1
100,9,1022324,Glen Osmond,,1,3376,14681,1
100,1,1022325,Glen Osmond,,1,3500,14681,1
100,1,1022326,Glen Osmond,,1,3399,14681,1
100,21,1022327,Arndale,,0,3706,14680,1
100,1,1022328,Glen Osmond,,1,3185,14681,1
100,21,1022329,Arndale,,0,3371,14678,1
100,1,1022330,Glen Osmond,,1,3267,14681,1
100,1,1022331,Arndale,,0,3366,14678,1
100,1,1022332,Arndale,,0,3423,14678,1
100,1,1022333,Glen Osmond,,1,3345,14681,1
100,1,1022334,Arndale,,0,3567,14678,1
100,1,1022335,Glen Osmond,,1,3232,14681,1
